States,Capital,Lat,Long
Andhra Pradesh,Hyderabad,17.384052,78.456355
Arunachal Pradesh,Itanagar,27.102349,93.692047
Assam,Dispur,26.135638,91.800688
Bihar,Patna,25.615379,85.101027
Chhatisgarh,Raipur,21.233333,81.633333
Goa,Panaji,15.498289,73.824541
Gujarat,Gandhi Nagar,23.216667,72.683333
Haryana,Chandigarh,30.736292,76.788398
Himachal Pradesh,Shimla,31.104423,77.166623
Jammu & Kashmir,Srinagar,34.085652,74.805553
Jharkhand,Ranchi,23.347768,85.338564
Karnataka,Bengaluru,12.977063,77.587106
Kerala,Thiruvananthapuram,8.485498,76.949238
Madhya Pradesh,Bhopal,23.254688,77.402892
Maharashtra,Mumbai,18.987807,72.836447
Manipur,Imphal,24.808053,93.944203
Meghalaya,Shillong,25.573987,91.896807
Mizoram,Aizawal,23.736701,92.714596
Nagaland,Kohima,25.674673,94.110988
Odisha,Bhubaneshwar,20.272411,85.833853
Punjab,Chandigarh,30.736292,76.788398
Rajasthan,Jaipur,26.913312,75.787872
Sikkim,Gangtok,27.325739,88.612155
Tamil Nadu,Chennai,13.084622,80.248357
Telangana,Hyderabad,17.384052,78.456355
Tripura,Agartala,23.836049,91.279386
Uttarakhand,Dehradun,30.324427,78.033922
Uttar Pradesh,Lucknow,26.839281,80.923133
West Bengal,Kolkata,22.562627,88.363044
Andaman & Nicobar Islands,Port Blair,11.666667,92.75
Chandigarh,Chandigarh,30.736292,76.788398
Dadra Nagar Haveli,Silvassa,20.273855,72.996728
Daman & Diu,Daman,20.414315,72.83236
Delhi,New Delhi,28.651952,77.231495
Lakshdweep,Kavaratti,10.566667,72.616667
Puducherry,Puducherry,11.933812,79.829792
